,ID,IDADE,FAIXA IDADE,GENERO,COR/RACA/ETNIA,PCD,EXPERIENCIA_PROFISSIONAL_PREJUDICADA,PREJUDICA?,ASPECTOS_PREJUDICADOS,VIVE_NO_BRASIL,ESTADO ONDE MORA,UF ONDE MORA,REGIAO ONDE MORA,MUDOU DE ESTADO?,REGIAO DE ORIGEM,NIVEL DE ENSINO,ÁREA DE FORMAÇÃO,COMPUTAÇÃO?,QUAL SUA SITUAÇÃO ATUAL DE TRABALHO?,SETOR,NUMERO DE FUNCIONARIOS,GESTOR?,CARGO COMO GESTOR,CARGO ATUAL,NIVEL,FAIXA SALARIAL,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE DADOS VOCÊ TEM?,QUANTO TEMPO DE EXPERIÊNCIA NA ÁREA DE TI/ENGENHARIA DE SOFTWARE VOCÊ TEVE ANTES DE COMEÇAR A TRABALHAR NA ÁREA DE DADOS?,SALARIO
10,zwy34gktg0tfjq2ttjvazwy34gg3g49i,25,25-29,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,1,,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Varejo,de 101 a 500,0,,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,3500
11,zwvpu2ssr2cr6g2jyzwvpu2dl5nfwa1f,33,30-34,Masculino,Branca,Não,,FALSE,,TRUE,Rio Grande do Sul (RS),RS,Sul,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Educação,Acima de 3.000,0,,Analista de Inteligência de Mercado/Market Intelligence,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
12,zwr9hqcpg513kaopenzwr9hibaqmldto,31,30-34,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,0,Nordeste,Doutorado ou Phd,Outras Engenharias,FALSE,Trabalho na área Acadêmica/Pesquisador,,,,,,,,,,
13,zwh83jpy6x40b95xigsr2zwh83jpflu3,24,22-24,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Mato Grosso do Sul (MS),MS,Centro-oeste,1,,Graduação/Bacharelado,Outras Engenharias,FALSE,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0,,Analista de Negócios/Business Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Menos de 1 ano,5000
14,zwez49k0jhdvfkfst4zwef137uuf4ivy,35,35-39,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero, Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",FALSE,"Atenção dada pelas pessoas diante das minhas opiniões e ideias, Velocidade de progressão de carreira",TRUE,São Paulo (SP),SP,Sudeste,1,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,FALSE,Empregado (CLT),Varejo,Acima de 3.000,0,,Analista de Negócios/Business Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,7000
15,zwb0kt7a8k0zwizwb0jgc78ez6e8j5iu,28,25-29,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Graduação/Bacharelado,Outras Engenharias,FALSE,Empregado (CLT),Varejo,Acima de 3.000,0,,Analista de BI/BI Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,5000
16,zwa1ilib041boopgo02awzwa1otup3fe,31,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Paraíba (PB),PB,Nordeste,1,,Doutorado ou Phd,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 51 a 100,1,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,14000
17,zw0x7ftf1pt8b469l86vswzzw0x7ftfq,29,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Mato Grosso (MT),MT,Centro-oeste,1,,Mestrado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Servidor Público,Setor Público,Acima de 3.000,1,Team Leader/Tech Leader,,,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,14000
18,zvxmpvomdin7czvxmitgmiu47m41ydje,28,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Minas Gerais (MG),MG,Sudeste,1,,Graduação/Bacharelado,Outras Engenharias,FALSE,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 1 a 2 anos,7000
19,zvqn9oqa49zuuuvl6zvqn9gxfr6ac8ni,26,25-29,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",FALSE,"Oportunidades de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,São Paulo (SP),SP,Sudeste,1,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Finanças ou Bancos,de 501 a 1.000,0,,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Menos de 1 ano,10000
20,zvjk79wmrtb6zvz96nnjbfcx2xzlozg6,37,35-39,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Pós-graduação,Outras Engenharias,FALSE,Empregado (CLT),Área da Saúde,de 101 a 500,1,Gerente/Head,,,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,22500
21,zvc2hv0g7m97pxuh6aizvc2hv02r4xn9,33,30-34,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,0,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Outra Opção,de 1.001 a 3.000,1,Supervisor/Coordenador,,,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
22,zvbf0exhvvdw6mmk9zvbfqay7v19tz4a,26,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Paraná (PR),PR,Sul,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Setor Farmaceutico,Acima de 3.000,0,,Product Manager/ Product Owner (PM/APM/DPM/GPM/PO),Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 1 a 2 anos,7000
23,zuqfcwtl9unfc5ezuqfcwm8coytsp5ap,46,45-49,Feminino,Branca,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,0,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,de 501 a 1.000,0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,de 5 a 6 anos,14000
24,zuojuxpeweah994w947zuojuxpoup3nj,34,30-34,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",FALSE,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,São Paulo (SP),SP,Sudeste,1,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 16.001/mês a R$ 20.000/mês,Mais de 10 anos,de 5 a 6 anos,18000
25,zuhhq9fel0z0pvqp40zuhv08csrove98,27,25-29,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",FALSE,"Oportunidades de progressão de carreira, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias, Relação com outros membros da empresa, em momentos de trabalho, Relação com outros membros da empresa, em momentos de integração e outros momentos fora do trabalho",TRUE,Minas Gerais (MG),MG,Sudeste,1,,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Finanças ou Bancos,de 1.001 a 3.000,0,,Cientista de Dados/Data Scientist,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
26,zu96qz40o69j8a9imytvn9gzu96qz40t,25,25-29,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",TRUE,"Quantidade de oportunidades de emprego/vagas recebidas, Aprovação em processos seletivos/entrevistas",TRUE,São Paulo (SP),SP,Sudeste,1,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Varejo,Acima de 3.000,0,,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1500
27,zu6e4ls6kqr66t0uzu6kekqq9jm4l34z,27,25-29,Feminino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Espírito Santo (ES),ES,Sudeste,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Setor de Energia,de 11 a 50,0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,3500
28,ztgepgj82o9oix0nztgepq2trcay6gpv,24,22-24,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",TRUE,Aprovação em processos seletivos/entrevistas,TRUE,Minas Gerais (MG),MG,Sudeste,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,"Desempregado, buscando recolocação",,,,,,,,,,
29,ztbhv15fpds52sbni5ztbhs4omjmsq8t,25,25-29,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Varejo,Acima de 3.000,0,,Cientista de Dados/Data Scientist,Júnior,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
30,zt5dof3zrmdbx6jwplibzt5dokirwt6g,26,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Minas Gerais (MG),MG,Sudeste,1,,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Empregado (CLT),Finanças ou Bancos,de 101 a 500,0,,Analista de Dados/Data Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Menos de 1 ano,3500
31,zsymngsu1xbtuwwltj0exzsymng8gt8f,27,25-29,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Paraná (PR),PR,Sul,0,Nordeste,Pós-graduação,Outras Engenharias,FALSE,Empregado (CLT),Área da Saúde,de 101 a 500,0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,2500
32,zstxl8za0hd5kdvb67n0e8zstxl8pw9q,29,25-29,Masculino,Preta,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Minas Gerais (MG),MG,Sudeste,1,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,0,,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Menos de 1 ano,3500
33,zsgicyy2tvrg6o7nspzsgi3edewiosov,33,30-34,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,0,,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,10000
34,zsa9i6njd3e594mw0tvlk4zsa9iw86i9,24,22-24,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",FALSE,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Velocidade de progressão de carreira, Nível de cobrança no trabalho / Stress no trabalho, Atenção dada pelas pessoas diante das minhas opiniões e ideias",TRUE,Distrito Federal (DF),DF,Centro-oeste,1,,Graduação/Bacharelado,Marketing / Publicidade / Comunicação / Jornalismo,FALSE,"Desempregado, buscando recolocação",,,,,,,,,,
35,zs18oj5xes1tol9ezs18agp86iyt8wb9,25,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Paraná (PR),PR,Sul,1,,Estudante de Graduação,Outras Engenharias,FALSE,Estagiário,Marketing,Acima de 3.000,0,,Analista de BI/BI Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Menos de 1 ano,1500
36,zrzj2qf9hy82qhreqlp0xzrzj2qf9e1u,27,25-29,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Seguros ou Previdência,de 1.001 a 3.000,0,,Analista de Negócios/Business Analyst,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,3500
37,zrhp1b3nf1vyxj7evey4yzrhp1b315mp,26,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Rio Grande do Sul (RS),RS,Sul,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Tecnologia/Fábrica de Software,de 101 a 500,0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,2500
38,zr7f2ykmr4ow6bu8zr7nyrdnjo5nfseb,31,30-34,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",TRUE,"Quantidade de oportunidades de emprego/vagas recebidas, Senioridade das vagas recebidas em relação à sua experiência, Aprovação em processos seletivos/entrevistas",TRUE,Rio Grande do Sul (RS),RS,Sul,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Área da Saúde,de 1.001 a 3.000,0,,Cientista de Dados/Data Scientist,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,de 3 a 4 anos,7000
39,zr4b2vm7dapp3linwqwn7zr4b2vmagqx,32,30-34,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Bahia (BA),BA,Nordeste,1,,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,"Desempregado, buscando recolocação",,,,,,,,,,
40,zr0j295ocn58xub84we8zr0j295brmte,40,40-44,Feminino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Bahia (BA),BA,Nordeste,1,,Pós-graduação,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,FALSE,Servidor Público,Setor Público,Acima de 3.000,0,,Analista de Suporte/Analista Técnico,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 7 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,3500
41,zqyjbvgkpzkdp6sgxzqyjh83rda63i0v,29,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Varejo,de 11 a 50,0,,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,5000
42,zqhol9v9rfzzffnrspzqhol9vslt14g2,35,35-39,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Rio Grande do Sul (RS),RS,Sul,1,,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Indústria,de 101 a 500,1,Supervisor/Coordenador,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,de 3 a 4 anos,5000
43,zqb5pi1m3swfe6tzeydwzghzqb5kxodr,32,30-34,Masculino,Branca,Não,,FALSE,,TRUE,São Paulo (SP),SP,Sudeste,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Setor Imobiliário/ Construção Civil,de 1.001 a 3.000,1,Team Leader/Tech Leader,,,de R$ 20.001/mês a R$ 25.000/mês,de 7 a 10 anos,Mais de 10 anos,22500
44,zq4itpk2kgxbgr3fsezq4imcd1fe1e0o,18,17-21,Masculino,Parda,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Paraná (PR),PR,Sul,0,Sudeste,Não tenho graduação formal,,FALSE,Prefiro não informar,Outra Opção,de 51 a 100,0,,Outra Opção,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1000
45,zpt1ql0xnx7m9sm3lyugzpt1qi80egk1,29,25-29,Masculino,Branca,Não,,FALSE,,TRUE,Distrito Federal (DF),DF,Centro-oeste,1,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Setor Público,de 1.001 a 3.000,0,,Cientista de Dados/Data Scientist,Sênior,de R$ 6.001/mês a R$ 8.000/mês,de 4 a 6 anos,de 3 a 4 anos,7000
46,zpr1ez4i5wmm6a6ocd3zpr1ez4iff895,24,22-24,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",TRUE,"Aprovação em processos seletivos/entrevistas, Velocidade de progressão de carreira",TRUE,São Paulo (SP),SP,Sudeste,0,Nordeste,Estudante de Graduação,Química / Física,FALSE,Estagiário,Marketing,de 1.001 a 3.000,0,,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1500
47,zpp4jvq3enc5fmgnhzpp4jvckgrsitp7,24,22-24,Masculino,Prefiro não informar,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,FALSE,,TRUE,Rio de Janeiro (RJ),RJ,Sudeste,0,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,TRUE,Empregado (CLT),Tecnologia/Fábrica de Software,de 11 a 50,0,,Engenheiro de Machine Learning/ML Engineer,Pleno,de R$ 6.001/mês a R$ 8.000/mês,Menos de 1 ano,de 3 a 4 anos,7000
48,zpmshqhzkm5y6ay6izdzpmshqzpxnzrs,46,45-49,Masculino,Branca,Não,,FALSE,,TRUE,Paraná (PR),PR,Sul,0,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,FALSE,Empregado (CLT),Outra Opção,Acima de 3.000,1,Supervisor/Coordenador,,,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Mais de 10 anos,14000
