ID	Quanto tempo de experiência na área de dados você tem?	Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?	Você está satisfeito na sua empresa atual?	Qual o principal motivo da sua insatisfação com a empresa atual?	Você participou de entrevistas de emprego nos últimos 6 meses?	Você pretende mudar de emprego nos próximos 6 meses?	Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?	Atualmente qual a sua forma de trabalho?	Qual a forma de trabalho ideal para você?	Caso sua empresa decida pelo modelo 100% presencial qual será sua atitude?	Sua empresa passu por Layoff em 2022?	Atuacao	Quais das linguagens listadas abaixo você utiliza no trabalho?
zwy34gktg0tfjq2ttjvazwy34gg3g49i	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de receber mais benefícios, Falta de oportunidade de crescimento no emprego atual	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
zwvpu2ssr2cr6g2jyzwvpu2dl5nfwa1f	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Qualidade dos gestores e líderes	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, R, Python
zwr9hqcpg513kaopenzwr9hibaqmldto												Buscando oportunidade na área de dados	
zwh83jpy6x40b95xigsr2zwh83jpflu3	de 1 a 2 anos	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
zwez49k0jhdvfkfst4zwef137uuf4ivy	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Propósito do trabalho e da empresa, Remuneração/Salário, Benefícios	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL
zwb0kt7a8k0zwizwb0jgc78ez6e8j5iu	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fiz entrevistas mas não fui aprovado	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Ambiente e clima de trabalho	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Engenharia de Dados	SQL, Python, Visual Basic/VBA
zwa1ilib041boopgo02awzwa1otup3fe	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zw0x7ftf1pt8b469l86vswzzw0x7ftfq	de 7 a 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Qualidade dos gestores e líderes	Modelo 100% presencial	Modelo híbrido com dias fixos de trabalho presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zvxmpvomdin7czvxmitgmiu47m41ydje	Menos de 1 ano	de 1 a 2 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python, SAS/Stata
zvqn9oqa49zuuuvl6zvqn9gxfr6ac8ni	de 3 a 4 anos	Menos de 1 ano	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
zvjk79wmrtb6zvz96nnjbfcx2xzlozg6	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Propósito do trabalho e da empresa, Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zvc2hv0g7m97pxuh6aizvc2hv02r4xn9	de 7 a 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Remuneração/Salário, Benefícios, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zvbf0exhvvdw6mmk9zvbfqay7v19tz4a	de 1 a 2 anos	de 1 a 2 anos	TRUE		Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades, mas apenas fora do Brasil	Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional, Maturidade da empresa em termos de tecnologia e dados	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
zuqfcwtl9unfc5ezuqfcwm8coytsp5ap	Mais de 10 anos	de 5 a 6 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
zuojuxpeweah994w947zuojuxpoup3nj	Mais de 10 anos	de 5 a 6 anos	TRUE		Sim, fui aprovado mas decidi não mudar de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalhava e eu fui afetado	Gestor	
zuhhq9fel0z0pvqp40zuhv08csrove98	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
zu96qz40o69j8a9imytvn9gzu96qz40t	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo 100% remoto	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
zu6e4ls6kqr66t0uzu6kekqq9jm4l34z	de 1 a 2 anos	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área, Ambiente e clima de trabalho	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
ztgepgj82o9oix0nztgepq2trcay6gpv												Buscando oportunidade na área de dados	
ztbhv15fpds52sbni5ztbhs4omjmsq8t	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa	Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
zt5dof3zrmdbx6jwplibzt5dokirwt6g	de 1 a 2 anos	Menos de 1 ano	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando e não pretendo mudar de emprego nos próximos 6 meses	Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	R, SQL
zsymngsu1xbtuwwltj0exzsymng8gt8f	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação, Gostaria de receber mais benefícios	Sim, fiz entrevistas mas não fui aprovado	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Engenharia de Dados	SQL, Python, R
zstxl8za0hd5kdvb67n0e8zstxl8pw9q	Menos de 1 ano	Menos de 1 ano	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Python, SQL
zsgicyy2tvrg6o7nspzsgi3edewiosov	de 4 a 6 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Não tenho uma boa relação com meu líder/gestor, Falta de maturidade analítica na empresa, Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo híbrido com dias fixos de trabalho presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python, PHP, JavaScript
zsa9i6njd3e594mw0tvlk4zsa9iw86i9												Buscando oportunidade na área de dados	
zs18oj5xes1tol9ezs18agp86iyt8wb9	Menos de 1 ano	Menos de 1 ano	FALSE	Gostaria de trabalhar em em outra área de atuação, Falta de maturidade analítica na empresa	Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, Python
zrzj2qf9hy82qhreqlp0xzrzj2qf9e1u	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Não utilizo nenhuma das linguagens listadas
zrhp1b3nf1vyxj7evey4yzrhp1b315mp	de 1 a 2 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Engenharia de Dados	SQL, Python
zr7f2ykmr4ow6bu8zr7nyrdnjo5nfseb	de 1 a 2 anos	de 3 a 4 anos	FALSE	Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios	Sim, fui aprovado mas decidi não mudar de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Flexibilidade de trabalho remoto	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo 100% remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	 desenvolve modelos preditivos e algoritmos de Machine Learning com o objetivo de otimizar e automatizar a tomada de decisão.	0
zr4b2vm7dapp3linwqwn7zr4b2vmagqx												Outra atuação	
zr0j295ocn58xub84we8zr0j295brmte	de 7 a 10 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	Não utilizo nenhuma das linguagens listadas
zqyjbvgkpzkdp6sgxzqyjh83rda63i0v	de 3 a 4 anos	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	FALSE	Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Engenharia de Dados	Python, SQL
zqhol9v9rfzzffnrspzqhol9vslt14g2	Mais de 10 anos	de 3 a 4 anos	FALSE	Gostaria de trabalhar em em outra área de atuação	Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Estou em busca de oportunidades dentro ou fora do Brasil	Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou procurar outra oportunidade no modelo híbrido ou remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Gestor	
zqb5pi1m3swfe6tzeydwzghzqb5kxodr	de 7 a 10 anos	Mais de 10 anos	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Gestor	
zq4itpk2kgxbgr3fsezq4imcd1fe1e0o	Não tenho experiência na área de dados	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Sim, fui aprovado e mudei de emprego	Estou em busca de oportunidades dentro ou fora do Brasil	Oportunidade de aprendizado e trabalhar com referências na área, Remuneração/Salário, Propósito do trabalho e da empresa	Modelo 100% presencial	Modelo 100% presencial	Vou aceitar e retornar ao modelo 100% presencial	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Outra atuação	Não utilizo nenhuma das linguagens listadas
zpt1ql0xnx7m9sm3lyugzpt1qi80egk1	de 4 a 6 anos	de 3 a 4 anos	TRUE		Sim, fui aprovado e mudei de emprego	Não estou buscando, mas me considero aberto a outras oportunidades	Plano de carreira e oportunidades de crescimento profissional	Modelo 100% presencial	Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)	Vou aceitar e retornar ao modelo 100% presencial	Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado	Análise de Dados	SQL, Python, R
zpr1ez4i5wmm6a6ocd3zpr1ez4iff895	Menos de 1 ano	Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados	TRUE		Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses	Não estou buscando, mas me considero aberto a outras oportunidades	Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área	Modelo 100% remoto	Modelo 100% remoto	Vou procurar outra oportunidade no modelo 100% remoto	Não ocorreram layoffs/demissões em massa na empresa em que trabalho	Análise de Dados	SQL, R, Python
